seed,step_k,n_pairs_fast,n_pairs_slow,D_fast_sites,D_slow_sites,D_mean_sites,P,P_slow,P_fast,omega_mae,validity
3417,50,128,128,9.984375,9.9921875,9.98828125,0.4971590909090909,0.5,0.4943181818181818,1.3112300559825265,1.0
3417,80,128,128,9.9609375,9.984375,9.97265625,0.5255681818181818,0.5454545454545454,0.5056818181818182,1.2802664196763132,1.0
3417,100,128,128,9.96875,9.9921875,9.98046875,0.5369318181818182,0.5880681818181818,0.4857954545454545,1.2843022453619557,1.0
3418,5,128,128,10.7265625,12.703125,11.71484375,0.5696022727272727,0.6221590909090909,0.5170454545454546,1.2071883662986875,1.0
3418,10,128,128,10.84375,13.171875,12.0078125,0.578125,0.5795454545454546,0.5767045454545454,1.0084308656534682,1.0
3418,20,128,128,10.0,12.3203125,11.16015625,0.6605113636363636,0.6164772727272727,0.7045454545454546,0.8879007778586011,1.0
3418,50,128,128,9.4765625,11.3671875,10.421875,0.7130681818181818,0.6477272727272727,0.7784090909090909,0.769626875410191,1.0
3418,80,128,128,9.0625,10.6796875,9.87109375,0.7102272727272727,0.6448863636363636,0.7755681818181818,0.7859501929626188,1.0
3418,100,128,128,9.3828125,10.625,10.00390625,0.7116477272727273,0.6505681818181818,0.7727272727272727,0.7686756386844447,1.0
3419,5,128,128,6.1640625,8.2890625,7.2265625,0.5227272727272727,0.5113636363636364,0.5340909090909091,1.3176023892883415,1.0
3419,10,128,128,6.375,7.109375,6.7421875,0.5568181818181818,0.5710227272727273,0.5426136363636364,1.2066156779857216,1.0
3419,20,128,128,6.0234375,7.765625,6.89453125,0.5951704545454546,0.6363636363636364,0.5539772727272727,1.1126120916417457,1.0
3419,50,128,128,5.953125,6.90625,6.4296875,0.6079545454545454,0.6590909090909091,0.5568181818181818,1.0793448546480475,1.0
3419,80,128,128,5.6015625,6.6640625,6.1328125,0.6079545454545454,0.6335227272727273,0.5823863636363636,1.053677639745497,1.0
3419,100,128,128,5.5234375,6.890625,6.20703125,0.5838068181818182,0.6164772727272727,0.5511363636363636,1.0910651111585823,1.0
3420,5,128,128,18.0703125,18.625,18.34765625,0.5667613636363636,0.5965909090909091,0.5369318181818182,1.1759529004024218,1.0
3420,10,128,128,17.84375,18.234375,18.0390625,0.6107954545454546,0.6278409090909091,0.59375,1.0832552846757428,1.0
3420,20,128,128,16.5546875,16.2265625,16.390625,0.6278409090909091,0.5738636363636364,0.6818181818181818,1.0167783094843117,1.0
3420,50,128,128,12.90625,13.3359375,13.12109375,0.6676136363636364,0.6107954545454546,0.7244318181818182,0.9018334329905696,1.0
3420,80,128,128,11.5078125,11.046875,11.27734375,0.671875,0.5625,0.78125,0.867115592220759,1.0
3420,100,128,128,10.84375,10.671875,10.7578125,0.6789772727272727,0.5795454545454546,0.7784090909090909,0.8784146989141088,1.0
3421,5,128,128,5.015625,6.6328125,5.82421875,0.4588068181818182,0.4772727272727273,0.4403409090909091,1.4210574538809846,1.0
3421,10,128,128,4.9609375,6.0,5.48046875,0.4872159090909091,0.5284090909090909,0.4460227272727273,1.3364469248826012,1.0
3421,20,128,128,4.8828125,6.0,5.44140625,0.5255681818181818,0.5738636363636364,0.4772727272727273,1.2720913497465458,1.0
3421,50,128,128,4.7734375,6.171875,5.47265625,0.5369318181818182,0.5880681818181818,0.4857954545454545,1.2139114274974732,1.0
3421,80,128,128,5.078125,6.7421875,5.91015625,0.5539772727272727,0.6306818181818182,0.4772727272727273,1.201871180695608,1.0
3421,100,128,128,5.203125,6.2265625,5.71484375,0.5568181818181818,0.6107954545454546,0.5028409090909091,1.194025977778754,1.0
