trajectory_id,pair_id,direction,theta_boundary,phase_coordinate_1,phase_coordinate_2
traj_e8168c2586e1ff764c2f,pair_e8168c2586e1ff764c2f,slow,5.241566826538797,37.42060259372195,-46.32109536236762
traj_eb01fe791cdb5e376980,pair_eb01fe791cdb5e376980,slow,1.5893440444200073,52.743508283779335,50.43360455187118
traj_eb684c261427b9cfac32,pair_eb684c261427b9cfac32,slow,1.9503051301406766,-14.18234219521605,77.3438092818953
traj_f116bddc6fbc3d243e7f,pair_f116bddc6fbc3d243e7f,slow,2.345408952435894,-57.76193475528808,20.096801625275447
traj_f1c835f3163687e5b76a,pair_f1c835f3163687e5b76a,slow,5.42044418093468,56.25490978972962,-31.44934171536838
traj_f35826b4f5b9c69acf02,pair_f35826b4f5b9c69acf02,slow,4.847265054140227,-33.474728500630775,-65.32736481068778
traj_f69873d24135da1f2a3a,pair_f69873d24135da1f2a3a,slow,5.108287381397492,10.478946860310966,-57.427776280670145
traj_f945a49efe68fffd6b22,pair_f945a49efe68fffd6b22,slow,5.245809900653489,33.97611797504036,-54.15665353107771
traj_faae1e53c43d6ed51024,pair_faae1e53c43d6ed51024,slow,5.391120283429666,32.32890160382692,-45.43841298139413
traj_fb5f0c2d3fb706311a97,pair_fb5f0c2d3fb706311a97,slow,4.86858361993052,-28.67804075470371,-69.67477718469175
traj_fb85f31e48160d0f32bb,pair_fb85f31e48160d0f32bb,slow,4.997167319107117,-9.517014852024692,-80.05837167514764
traj_fc07c552b1a6c9d493c6,pair_fc07c552b1a6c9d493c6,slow,4.980815372530341,-15.289434465366408,-72.46772092491081
traj_fccf11a637bda59ce0f2,pair_fccf11a637bda59ce0f2,slow,5.185058228258942,25.859367414156214,-61.552320625534456
traj_ff8f4a0664fc3bf6a96a,pair_ff8f4a0664fc3bf6a96a,slow,5.432257339887165,49.86184152605999,-35.73042192038465
