seed,layer,relative_layer,N,global_projection,global_projection_ci_low,global_projection_ci_high,global_semantic_cosine,global_semantic_cosine_ci_low,global_semantic_cosine_ci_high,global_norm_ratio,global_norm_ratio_ci_low,global_norm_ratio_ci_high,global_orthogonal_ratio,global_orthogonal_ratio_ci_low,global_orthogonal_ratio_ci_high
3408,15,8,8,0.6621802715014016,0.56447311602646,0.7525984521027288,0.8731725153352515,0.8182059165287502,0.9218867544646588,0.751089657551871,0.675406653737668,0.8234136952818718,0.3362037383190879,0.28883535797016635,0.38421678931177616
3408,16,9,8,0.6574648427921159,0.5529902827818519,0.7528000470400151,0.8687091585533355,0.80709278542033,0.9230570154619526,0.7484740253947351,0.6710166781409738,0.82202867585146,0.33701772321550416,0.288313148543678,0.38698473322547244
3408,17,10,8,0.6401518009941984,0.5359205741522673,0.7375250033739617,0.8556777167568395,0.7944859313850103,0.9112267046451679,0.7390932343004444,0.6598079109049881,0.8136085633504386,0.35097704769159094,0.3079633147544766,0.3970772662182525
3408,18,11,8,0.6334058168345252,0.5220513222418235,0.7376705539254214,0.8561374227371192,0.789707172629162,0.9138915566620794,0.7297733201634211,0.6433361399146251,0.810149436758204,0.34238966729747367,0.2992448403918522,0.38962753348180545
3408,19,12,8,0.6270627606697546,0.5170224370005717,0.7292016172305791,0.8453840576197363,0.774154946593314,0.9065349029743339,0.7311298150610919,0.6498538358022425,0.8070164325487088,0.3553236379325938,0.3102307240624891,0.4019640447847634
3408,20,13,8,0.6183430461353707,0.5059598480462512,0.7225229377080747,0.8292764642132998,0.7574824363408956,0.8932227232298929,0.7344553496001565,0.6499850733748691,0.8117821795280111,0.3763638203127644,0.3306988459504283,0.4246494760568742
3408,21,14,8,0.6191758590816085,0.5064580139674218,0.723007729285631,0.8271364372319956,0.7558526047050006,0.89138603921151,0.7371492881875892,0.6537578620847686,0.8138374065282191,0.3796558456775042,0.3332328330647379,0.429303237148859
3408,22,15,8,0.6161011271267994,0.5042070900743714,0.7196427572120241,0.8197352220061869,0.7474053603771591,0.8853464163340694,0.7400106163573215,0.6570268956954537,0.8158865063919263,0.3900985225886652,0.34423106540956055,0.4373985817066716
3408,23,16,8,0.6052349503394427,0.48204642241713247,0.7178106155085159,0.8036449914992884,0.7166704651104463,0.881898451233573,0.7381888754970702,0.64912195800109,0.8177042060917048,0.3977888966847397,0.3462171976305532,0.45368078420920804
3408,24,17,8,0.5975197631762287,0.47665767278888366,0.7104420041781245,0.7936767863790128,0.7080602100941961,0.8726274988089129,0.7380486551480533,0.6482752006888657,0.8175908501296889,0.41051745517236954,0.36162571175703007,0.4632141245541147
3408,25,18,8,0.5966752173505755,0.4740064747718241,0.7074009752154851,0.7899129752134553,0.7028766604285276,0.8671441967591482,0.7402272510432075,0.6490268707499383,0.8183152886084624,0.41558441179356165,0.36791934095070816,0.46744956287508527
3408,26,19,8,0.5975798766953255,0.4782658677015381,0.7079480749018703,0.788305524544935,0.7024365742354335,0.8661487911817458,0.7429309553445844,0.6566557994376765,0.8203416990073115,0.4190981524144851,0.3713897629043454,0.470541344041751
3408,27,20,8,0.5992568111174786,0.48023333803697527,0.710948459039979,0.7897218069140787,0.7060716952287571,0.8674429744724429,0.7436416023328347,0.6576707516173379,0.8212063605449446,0.4183036987799119,0.371269136185891,0.4687647438295577
3408,28,21,8,0.5982006319654662,0.4757315943201529,0.7111698441073153,0.7878995963671781,0.7022280765561746,0.8659706463521499,0.7438990431913747,0.6525150723708676,0.8217495834189001,0.4203654109635113,0.3741427738279536,0.47027266196790046
3408,29,22,8,0.5975911979851071,0.4750273207237654,0.7120767799454125,0.787272090796642,0.7012638914924477,0.866688932287883,0.7432178588517917,0.6535850836048533,0.8221119303048476,0.41977352676565316,0.3728526855319684,0.4693404553326291
3409,9,0,8,0.11984195725084977,0.10319228747907451,0.135899740668913,0.4249446418994203,0.3866126251853307,0.45821107207148326,0.28230865531098076,0.2505073186464764,0.31657701252359427,0.25515008938233963,0.22601856039985457,0.28661302060163935
3409,10,1,8,0.11099266413196374,0.09516498779557216,0.12768498363784897,0.4455262111481694,0.40385011279546457,0.4858517579732886,0.25040831761733345,0.2181284697299551,0.28465413373198417,0.22386876373377187,0.19355392102366392,0.25657628679159783
3409,11,2,8,0.10449165151498918,0.09019866699705957,0.12036114616957741,0.4982875463753441,0.4571627081483777,0.5398648501219818,0.21234705452381256,0.1794750545322626,0.24567977879063604,0.1842392431284669,0.15332030602166064,0.21569472820628882
3409,12,3,8,0.10138370597481322,0.08872735911024332,0.11537888220604296,0.5045957921022015,0.4515077494575317,0.5562690610116957,0.20524330827055678,0.17358995858862808,0.23801831911485244,0.17755780947726427,0.1460454638652804,0.2107142510345207
3409,13,4,8,0.09758222522195585,0.0856956423046009,0.11137852158229047,0.5028190026248454,0.4461623040384238,0.5595379963494043,0.1991363921266719,0.1673752017718328,0.23156003401891462,0.1725550871207794,0.14023998873249732,0.20609663454560748
