receiver_id,history_regime,direction,split,site_index,site_label,gravity_hat_conflict,gravity_hat_aligned,gravity_hat_edited,normalized_recovery_g,valid,invalid_reasons,writable_indicator,common_strict
eval_50071_low,hist32,low,heldout,2,after_block_2,0.014975096701406117,0.005301204886937605,0.006150501389744189,0.9122073598614825,True,,True,True
eval_50071_low,hist32,low,heldout,3,after_block_3,0.014975096701406117,0.005301204886937605,0.006310345073407624,0.8956841563019421,True,,False,True
eval_50071_low,hist32,low,heldout,4,after_block_4,0.014975096701406117,0.005301204886937605,0.007313077688779584,0.7920306697214691,True,,False,True
eval_50071_low,hist32,low,heldout,5,after_block_5,0.014975096701406117,0.005301204886937605,0.007513005292326588,0.7713639507441091,True,,False,True
eval_50071_low,hist32,low,heldout,6,after_block_6,0.014975096701406117,0.005301204886937605,0.013715673995143618,0.13018780139538833,True,,False,True
eval_50071_low,hist32,low,heldout,7,after_block_7,0.014975096701406117,0.005301204886937605,0.01400564817226303,0.10021287685822132,True,,False,True
eval_50071_low,hist32,low,heldout,8,after_block_8,0.014975096701406117,0.005301204886937605,0.017111942783643683,-0.2208879449159898,True,,False,True
eval_50071_low,hist32,low,heldout,9,after_block_9,0.014975096701406117,0.005301204886937605,0.023270435388232213,-0.8574975662245242,True,,False,True
eval_50071_low,hist32,low,heldout,10,after_block_10,0.014975096701406117,0.005301204886937605,0.022060446468963876,-0.7324197854849621,True,,False,True
eval_50071_low,hist32,low,heldout,11,after_block_11,0.014975096701406117,0.005301204886937605,0.024301355993152803,-0.9640648738492301,True,,False,True
eval_50071_low,hist32,low,heldout,12,after_block_12,0.014975096701406117,0.005301204886937605,0.02075008939376282,-0.5969668467575253,True,,False,True
eval_50071_low,hist32,low,heldout,13,after_block_13,0.014975096701406117,0.005301204886937605,0.015775949549557803,-0.08278497046596181,True,,False,True
eval_50071_low,hist32,low,heldout,14,after_block_14,0.014975096701406117,0.005301204886937605,0.01612576144903048,-0.11894538099996096,True,,False,True
eval_50071_low,hist32,low,heldout,15,after_block_15,0.014975096701406117,0.005301204886937605,0.01732419259217039,-0.2428284227089358,False,detected_frames_below_58,False,False
eval_50071_low,hist32,low,heldout,16,after_block_16,0.014975096701406117,0.005301204886937605,0.017676451799456715,-0.27924181393163655,False,detected_frames_below_58,False,False
eval_50071_low,hist32,low,heldout,17,after_block_17,0.014975096701406117,0.005301204886937605,0.015529926333400432,-0.057353301301602044,True,,False,True
eval_50071_low,hist32,low,heldout,18,after_block_18,0.014975096701406117,0.005301204886937605,0.013757851307331134,0.12582788989374896,True,,False,True
eval_50071_low,hist32,low,heldout,19,after_block_19,0.014975096701406117,0.005301204886937605,0.0113486101173417,0.3748735931324511,True,,False,True
eval_50071_low,hist32,low,heldout,20,after_block_20,0.014975096701406117,0.005301204886937605,0.010205996052821308,0.49298676686171167,True,,False,True
eval_50071_low,hist32,low,heldout,21,after_block_21,0.014975096701406117,0.005301204886937605,0.011079383206501855,0.4027038517298422,True,,False,True
eval_50071_low,hist32,low,heldout,22,after_block_22,0.014975096701406117,0.005301204886937605,0.012847077268276988,0.2199755252530746,True,,False,True
eval_50071_low,hist32,low,heldout,23,after_block_23,0.014975096701406117,0.005301204886937605,0.013346635271399811,0.16833570823799568,True,,False,True
eval_50071_low,hist32,low,heldout,24,after_block_24,0.014975096701406117,0.005301204886937605,0.008899744684384998,0.6280152945203163,True,,False,True
eval_50071_low,hist32,low,heldout,25,after_block_25,0.014975096701406117,0.005301204886937605,0.008629136746664918,0.6559883112657953,True,,False,True
eval_50071_low,hist32,low,heldout,26,after_block_26,0.014975096701406117,0.005301204886937605,0.013092202989691507,0.19463663102976905,True,,False,True
eval_50071_low,hist32,low,heldout,27,after_block_27,0.014975096701406117,0.005301204886937605,0.011573707864662098,0.3516050108868096,True,,False,True
eval_50071_low,hist32,low,heldout,28,after_block_28,0.014975096701406117,0.005301204886937605,0.015546941307805975,-0.059112156448203466,True,,False,True
eval_50071_low,hist32,low,heldout,29,after_block_29,0.014975096701406117,0.005301204886937605,0.014975096701406117,-0.0,True,,False,True
