source,receiver_id,condition,gravity_true,gravity_hat_e3,gravity_hat_e0,fit_rmse,valid,invalid_reasons,detected_frames,detector_coverage,max_missing_run,max_adjacent_y_jump,future_r,future_g,future_b,future_color_coordinate
F4_source,eval_50084_low,after_block_5,0.005143582295106868,0.006867178281598063,,,True,,,,,,,,,
F4_source,eval_50084_low,after_block_6,0.005143582295106868,0.013596668803494154,,,True,,,,,,,,,
F4_source,eval_50084_low,after_block_7,0.005143582295106868,0.013726548934329673,,,True,,,,,,,,,
F4_source,eval_50084_low,after_block_8,0.005143582295106868,0.016944818420131888,,,True,,,,,,,,,
F4_source,eval_50084_low,after_block_9,0.005143582295106868,0.02279751653107919,,,True,,,,,,,,,
F4_source,eval_50084_low,after_block_10,0.005143582295106868,0.021859704188329304,,,True,,,,,,,,,
F4_source,eval_50084_low,after_block_11,0.005143582295106868,0.024020713635413398,,,True,,,,,,,,,
F4_source,eval_50084_low,after_block_12,0.005143582295106868,0.019440326597779677,,,True,,,,,,,,,
F4_source,eval_50084_low,after_block_13,0.005143582295106868,0.014698983527243916,,,True,,,,,,,,,
F4_source,eval_50084_low,after_block_14,0.005143582295106868,0.014804327005191702,,,True,,,,,,,,,
F4_source,eval_50084_low,after_block_15,0.005143582295106868,0.015724280998876034,,,True,,,,,,,,,
F4_source,eval_50084_low,after_block_16,0.005143582295106868,0.01569921150590012,,,True,,,,,,,,,
F4_source,eval_50084_low,after_block_17,0.005143582295106868,0.013899007388282454,,,True,,,,,,,,,
F4_source,eval_50084_low,after_block_18,0.005143582295106868,0.014430695856027255,,,True,,,,,,,,,
F4_source,eval_50084_low,after_block_19,0.005143582295106868,0.012181490656971711,,,True,,,,,,,,,
F4_source,eval_50084_low,after_block_20,0.005143582295106868,0.011638161851512684,,,True,,,,,,,,,
F4_source,eval_50084_low,after_block_21,0.005143582295106868,0.013907829655187005,,,True,,,,,,,,,
F4_source,eval_50084_low,after_block_22,0.005143582295106868,0.014075061325122738,,,True,,,,,,,,,
F4_source,eval_50084_low,after_block_23,0.005143582295106868,0.012003754605754985,,,True,,,,,,,,,
F4_source,eval_50084_low,after_block_24,0.005143582295106868,0.011392293605054863,,,True,,,,,,,,,
F4_source,eval_50084_low,after_block_25,0.005143582295106868,0.011221177268636444,,,True,,,,,,,,,
F4_source,eval_50084_low,after_block_26,0.005143582295106868,0.01296665775521182,,,True,,,,,,,,,
F4_source,eval_50084_low,after_block_27,0.005143582295106868,0.013959717876120473,,,True,,,,,,,,,
F4_source,eval_50084_low,after_block_28,0.005143582295106868,0.013078588591368281,,,True,,,,,,,,,
F4_source,eval_50084_low,after_block_29,0.005143582295106868,0.01290354126472237,,,True,,,,,,,,,
F4_source,eval_50122_high,after_block_0,0.06572112249168846,0.06611703624042284,,,True,,,,,,,,,
F4_source,eval_50122_high,after_block_1,0.06572112249168846,0.06536931305872862,,,True,,,,,,,,,
F4_source,eval_50122_high,after_block_2,0.06572112249168846,0.059858451428744144,,,True,,,,,,,,,
F4_source,eval_50122_high,after_block_3,0.06572112249168846,0.060006786407193355,,,True,,,,,,,,,
F4_source,eval_50122_high,after_block_4,0.06572112249168846,0.054419057044559765,,,True,,,,,,,,,
F4_source,eval_50122_high,after_block_5,0.06572112249168846,0.054171547418223664,,,True,,,,,,,,,
F4_source,eval_50122_high,after_block_6,0.06572112249168846,0.051975276286923715,,,True,,,,,,,,,
F4_source,eval_50122_high,after_block_7,0.06572112249168846,0.05216614486447071,,,True,,,,,,,,,
F4_source,eval_50122_high,after_block_8,0.06572112249168846,0.051592553574118426,,,True,,,,,,,,,
F4_source,eval_50122_high,after_block_9,0.06572112249168846,0.05039910486947876,,,True,,,,,,,,,
F4_source,eval_50122_high,after_block_10,0.06572112249168846,0.05115417867612215,,,True,,,,,,,,,
F4_source,eval_50122_high,after_block_11,0.06572112249168846,0.050612260626731756,,,True,,,,,,,,,
F4_source,eval_50122_high,after_block_12,0.06572112249168846,0.05506995482454898,,,True,,,,,,,,,
F4_source,eval_50122_high,after_block_13,0.06572112249168846,0.05605469801535982,,,True,,,,,,,,,
F4_source,eval_50122_high,after_block_14,0.06572112249168846,0.05866606398244387,,,True,,,,,,,,,
F4_source,eval_50122_high,after_block_15,0.06572112249168846,0.0630799833639431,,,True,,,,,,,,,
F4_source,eval_50122_high,after_block_16,0.06572112249168846,0.0628251633138191,,,True,,,,,,,,,
F4_source,eval_50122_high,after_block_17,0.06572112249168846,0.05896759453783659,,,True,,,,,,,,,
F4_source,eval_50122_high,after_block_18,0.06572112249168846,0.056225528328895644,,,True,,,,,,,,,
F4_source,eval_50122_high,after_block_19,0.06572112249168846,0.054339049274249984,,,True,,,,,,,,,
F4_source,eval_50122_high,after_block_20,0.06572112249168846,0.05213962023561651,,,True,,,,,,,,,
F4_source,eval_50122_high,after_block_21,0.06572112249168846,0.05057268674383912,,,True,,,,,,,,,
F4_source,eval_50122_high,after_block_22,0.06572112249168846,0.05041919050941446,,,True,,,,,,,,,
F4_source,eval_50122_high,after_block_23,0.06572112249168846,0.048565662057804576,,,True,,,,,,,,,
F4_source,eval_50122_high,after_block_24,0.06572112249168846,0.048451246555033564,,,True,,,,,,,,,
F4_source,eval_50122_high,after_block_25,0.06572112249168846,0.04870680752313761,,,True,,,,,,,,,
F4_source,eval_50122_high,after_block_26,0.06572112249168846,0.04820423254324252,,,True,,,,,,,,,
F4_source,eval_50122_high,after_block_27,0.06572112249168846,0.04808505742515352,,,True,,,,,,,,,
F4_source,eval_50122_high,after_block_28,0.06572112249168846,0.04697141716915471,,,True,,,,,,,,,
F4_source,eval_50122_high,after_block_29,0.06572112249168846,0.04548321229484729,,,True,,,,,,,,,
F4_source,eval_50143_high,after_block_0,0.06531368708892389,0.06517661938679425,,,True,,,,,,,,,
F4_source,eval_50143_high,after_block_1,0.06531368708892389,0.06445965310186849,,,True,,,,,,,,,
F4_source,eval_50143_high,after_block_2,0.06531368708892389,0.05977784567571708,,,True,,,,,,,,,
F4_source,eval_50143_high,after_block_3,0.06531368708892389,0.05986617527393454,,,True,,,,,,,,,
F4_source,eval_50143_high,after_block_4,0.06531368708892389,0.05378458354775568,,,True,,,,,,,,,
F4_source,eval_50143_high,after_block_5,0.06531368708892389,0.05340125297271681,,,True,,,,,,,,,
F4_source,eval_50143_high,after_block_6,0.06531368708892389,0.051865767985937825,,,True,,,,,,,,,
F4_source,eval_50143_high,after_block_7,0.06531368708892389,0.05201132372443992,,,True,,,,,,,,,
F4_source,eval_50143_high,after_block_8,0.06531368708892389,0.051262453613751174,,,True,,,,,,,,,
F4_source,eval_50143_high,after_block_9,0.06531368708892389,0.049381957966219116,,,True,,,,,,,,,
F4_source,eval_50143_high,after_block_10,0.06531368708892389,0.0501891407680947,,,True,,,,,,,,,
F4_source,eval_50143_high,after_block_11,0.06531368708892389,0.049657314379242874,,,True,,,,,,,,,
F4_source,eval_50143_high,after_block_12,0.06531368708892389,0.054176270415416936,,,True,,,,,,,,,
F4_source,eval_50143_high,after_block_13,0.06531368708892389,0.05546275257288005,,,True,,,,,,,,,
F4_source,eval_50143_high,after_block_14,0.06531368708892389,0.05952596955790603,,,True,,,,,,,,,
F4_source,eval_50143_high,after_block_15,0.06531368708892389,0.057704299410188654,,,True,,,,,,,,,
F4_source,eval_50143_high,after_block_16,0.06531368708892389,0.05755521614241404,,,True,,,,,,,,,
F4_source,eval_50143_high,after_block_17,0.06531368708892389,0.056509961828956054,,,True,,,,,,,,,
F4_source,eval_50143_high,after_block_18,0.06531368708892389,0.05669837529628413,,,True,,,,,,,,,
F4_source,eval_50143_high,after_block_19,0.06531368708892389,0.05277893734331492,,,True,,,,,,,,,
F4_source,eval_50143_high,after_block_20,0.06531368708892389,0.053422776420451366,,,True,,,,,,,,,
F4_source,eval_50143_high,after_block_21,0.06531368708892389,0.051161146790259966,,,True,,,,,,,,,
