receiver_id,pair_id,condition,direction,gravity_hat_conflict,gravity_hat_aligned,gravity_hat_edited,recovery_denominator,normalized_recovery_g,valid,invalid_reasons,outcome,future_color_coordinate,future_r,future_g,future_b,fit_rmse,gravity_hat_e0,detector_coverage,max_missing_run,max_adjacent_y_jump,intervention_site,fm_calls_observed,fm_calls_expected,condition_prefix_tokens_edited,target_suffix_tokens_edited,intervention_scale,activation_delta_l2,generation_seed,output_video_path,output_video_sha256
eval_50301_high,eval_50301_high,natural_conflict,high,0.0465813219944638,0.06649891624135643,0.0465813219944638,0.019917594246892628,0.0,True,,E3_fail,-0.5312012516642272,169.0172161172161,48.539320884429586,51.74699228911186,0.006790967852765776,0.03728285644037349,1.0,0,0.02161219073751086,none,20,20,0,0,0.0,0.0,17050301,videos/recovery/eval_50301_high__natural_conflict.mp4,ae6fa4de5de27574a8f9f9693692a639c0b4b09d562f73ea0fc86609e0cb65aa
eval_50301_high,eval_50301_high,full_matched_edit,high,0.0465813219944638,0.06649891624135643,0.06607843897733097,0.019917594246892628,0.9788891540407267,True,,E3_pass,0.6165770177953575,46.80148679705455,91.93223108718638,197.32309085841695,0.0012185807669105016,0.06570470836705718,1.0,0,0.014829076243518369,after_block_1,20,20,1088,0,1.0,371.01623936806476,17050301,videos/recovery/eval_50301_high__full_matched_edit.mp4,36a541e3f2b27dbd5d2fcf5e75dff2a5247207e099b891a38d9b52e2384e33f4
eval_50301_high,eval_50301_high,top2_oracle_projection,high,0.0465813219944638,0.06649891624135643,0.06529887817171544,0.019917594246892628,0.9397498485627496,True,,E3_pass,0.6157468332429366,46.939836683417084,92.04433497536945,197.37740384615384,0.0011663332801371308,0.06517119811480707,1.0,0,0.014248017660424273,after_block_1,20,20,1088,0,1.0022815498887996,371.2539108749318,17050301,videos/recovery/eval_50301_high__top2_oracle_projection.mp4,2576b90fbec14c5f4e9100c874d110209f1bded34fa79445d05d0db10fdf3b34
eval_50301_high,eval_50301_high,fit_only_controller,high,0.0465813219944638,0.06649891624135643,0.06520464853447874,0.019917594246892628,0.9350188737236876,True,,E3_pass,0.6160605003071982,47.00246191007061,92.40606915682241,197.84060293571162,0.001149435308517543,0.06514289210911568,1.0,0,0.013945536657840485,after_block_1,20,20,1088,0,1.0022815498887996,370.4838562011719,17050301,videos/recovery/eval_50301_high__fit_only_controller.mp4,77b0bd5db42fc9aef7428f51db9f3b27ff87dbe549e872d5adb30d1188a61e5e
eval_50304_low,eval_50304_low,natural_conflict,low,0.012829311330608033,0.005552155621460983,0.012829311330608028,-0.0072771557091470505,0.0,True,,E3_fail,0.5867099353532713,42.42894223334929,75.05824481357382,162.89388482089848,0.004704381365705698,0.035128181329191654,0.9375,4,0.007257476809817698,none,20,20,0,0,0.0,0.0,17050304,videos/recovery/eval_50304_low__natural_conflict.mp4,6cbd1b9ceae16eb1514c14c39ebdd5d9f0c200a247a5754ed37ed2f00c863f17
eval_50304_low,eval_50304_low,full_matched_edit,low,0.012829311330608033,0.005552155621460983,0.005360469527455582,-0.0072771557091470505,1.0263407987497726,True,,E3_pass,-0.6050746799511888,202.9608557015039,48.74407481439178,49.93810063574984,0.0003319665778382166,0.00540355826968029,1.0,0,0.001426586382584638,after_block_1,20,20,1088,0,1.0,375.90193385991483,17050304,videos/recovery/eval_50304_low__full_matched_edit.mp4,4f13158b33d1a24b224d14a5c815b8a90b06be71d6d5cb6eef43fc1c59687e44
eval_50304_low,eval_50304_low,top2_oracle_projection,low,0.012829311330608033,0.005552155621460983,0.00628079848970171,-0.0072771557091470505,0.8998725742085116,True,,E3_pass,-0.6047913819396189,203.37468624200807,48.9045193687231,50.08465873054594,0.00045926892352383643,0.006111381099242052,1.0,0,0.0021725301578682243,after_block_1,20,20,1088,0,1.0022815498887996,375.799292327304,17050304,videos/recovery/eval_50304_low__top2_oracle_projection.mp4,1c143f40ebf358346a9942e2c59945d1628c7702624cc148c1aeaec7b4ec6918
eval_50304_low,eval_50304_low,fit_only_controller,low,0.012829311330608033,0.005552155621460983,0.00637122212602255,-0.0072771557091470505,0.8874468903376579,True,,E3_pass,-0.6023921596402493,203.3398058252427,48.95873786407767,50.45550214842328,0.0004556118012212567,0.00613757348131905,1.0,0,0.0019622670928510777,after_block_1,20,20,1088,0,1.0022815498887996,374.78167724609375,17050304,videos/recovery/eval_50304_low__fit_only_controller.mp4,f46009542f56c7c9b2948ea76ba2a30c703ca9a8e76e405261089f507e5bbae2
eval_50311_high,eval_50311_high,natural_conflict,high,0.04432851709989645,0.0633308975598246,0.04432851709989645,0.01900238045992815,0.0,True,,E3_fail,-0.529125672735672,166.65119870184253,48.1073999806726,51.31806526806527,0.006248726690585771,0.03799919295103362,1.0,0,0.017569963257128562,none,20,20,0,0,0.0,0.0,17050311,videos/recovery/eval_50311_high__natural_conflict.mp4,c6cfd62e356e6fc220d05b5b5c207e7695c4baa03116b039dd807339b3ca302a
eval_50311_high,eval_50311_high,full_matched_edit,high,0.04432851709989645,0.0633308975598246,0.062196160620074145,0.01900238045992815,0.9402844847705598,True,,E3_pass,0.6184568761600762,47.3295021892252,93.35775298730395,200.76566311157876,0.0009947225961780995,0.06252734618228406,1.0,0,0.013908760324062852,after_block_1,20,20,1088,0,1.0,370.78314929810927,17050311,videos/recovery/eval_50311_high__full_matched_edit.mp4,5443e884f99d3701158ee6fd76192a7a7ad10d8c2a32422615ec29c8bb8ae64f
eval_50311_high,eval_50311_high,top2_oracle_projection,high,0.04432851709989645,0.0633308975598246,0.062857495762776,0.01900238045992815,0.9750872371992074,True,,E3_pass,0.6187630676791922,47.13906339234723,93.03682566382315,200.15630280098048,0.0009999831593595421,0.06286668907854923,1.0,0,0.014179303641054242,after_block_1,20,20,1088,0,1.0022815498887996,371.0191425892297,17050311,videos/recovery/eval_50311_high__top2_oracle_projection.mp4,82fc1a52344c241bf046ed63812d05a081303e69f4c0d4ee2336a9aab66830c8
eval_50311_high,eval_50311_high,fit_only_controller,high,0.04432851709989645,0.0633308975598246,0.06288089169048006,0.01900238045992815,0.9763184475601092,True,,E3_pass,0.6183007693742251,47.200980392156865,93.08383996155233,200.11930010604453,0.0009737419839473649,0.06285773191452963,1.0,0,0.014179303641054242,after_block_1,20,20,1088,0,1.0022815498887996,370.99444580078125,17050311,videos/recovery/eval_50311_high__fit_only_controller.mp4,8fc3298273dc342cc06ad64a9a40d2126d95c09ea390b5318d33ee04fcf345fd
eval_50316_low,eval_50316_low,natural_conflict,low,0.021614204176859934,0.01578288997628444,0.021614204176859917,-0.005831314200575494,0.0,True,,E3_fail,0.6038942841355951,46.10927861659569,86.79580378250591,186.703714328854,0.004178273689044742,0.037648076716559904,0.90625,4,0.008333333333333304,none,20,20,0,0,0.0,0.0,17050316,videos/recovery/eval_50316_low__natural_conflict.mp4,b68ea462a2586e08c78a070b910b87b3b2b411e4d2c83cd9ad61de8c068a3041
eval_50316_low,eval_50316_low,full_matched_edit,low,0.021614204176859934,0.01578288997628444,0.016034622919307358,-0.005831314200575494,0.9568308387501956,True,,E3_pass,-0.6031975267789593,202.10335215667428,48.59027777777778,50.02197710668475,0.00041142741129210976,0.016398127854557163,1.0,0,0.0035476634559477027,after_block_1,20,20,1088,0,1.0,374.77530655504796,17050316,videos/recovery/eval_50316_low__full_matched_edit.mp4,c342c809dc52c3677e604a22cff76eea0384105f97c343b6c8842c306a78cfb3
eval_50316_low,eval_50316_low,top2_oracle_projection,low,0.021614204176859934,0.01578288997628444,0.015161563036448604,-0.005831314200575494,1.1065500706126445,True,,E3_pass,-0.6041650351168981,200.1126907073509,47.99514633439583,49.37870989878195,0.00040351784211342,0.015459963938640887,1.0,0,0.0033511754042956365,after_block_1,20,20,1088,0,1.0022815498887996,374.4882757240721,17050316,videos/recovery/eval_50316_low__top2_oracle_projection.mp4,07eef472d14207ab3e03d976e9664bfa79895f28b989e6a2286b88750cb62282
eval_50316_low,eval_50316_low,fit_only_controller,low,0.021614204176859934,0.01578288997628444,0.015190924368527876,-0.005831314200575494,1.1015149565595594,True,,E3_pass,-0.6034435113152189,200.0353692701541,48.04686128182617,49.47185422545316,0.00037916750341644993,0.015503151294036262,1.0,0,0.0030670058090035424,after_block_1,20,20,1088,0,1.0022815498887996,374.29217529296875,17050316,videos/recovery/eval_50316_low__fit_only_controller.mp4,2fa5646a281a12105d25204360fbee88f9770603251f5628db9ea1ba921f9cb9
