receiver_id,condition,omega_hat,valid,detected_color,omega_true,trajectory_rmse,omega_class
A_237,aligned,6.1057500000000005,True,blue,6.11795084285537,0.005438665630682771,fast
A_237,conflict,3.1801250000000003,True,red,6.11795084285537,0.14264201073207866,
A_238,aligned,5.652375,True,blue,5.281991664214525,0.04462193703385257,fast
A_238,conflict,2.800375,True,red,5.281991664214525,0.12921394571559103,slow
A_239,aligned,5.776375,True,blue,5.309916062558822,0.08846459772281041,fast
A_239,conflict,2.81975,True,red,5.309916062558822,0.13430113616555392,slow
A_240,aligned,5.822875,True,blue,6.015714491876691,0.033903359928121775,fast
A_240,conflict,2.91275,True,red,6.015714491876691,0.16183434288965812,slow
A_241,aligned,5.954625,True,blue,5.279775033208932,0.07903735488789058,fast
A_241,conflict,2.8313750000000004,True,red,5.279775033208932,0.11815439417040974,slow
A_242,aligned,5.334625,True,blue,5.2025061425064605,0.03513861747364604,fast
A_242,conflict,2.7655000000000003,True,red,5.2025061425064605,0.14739352945218498,slow
A_243,aligned,5.88875,True,blue,5.82958277980059,0.015501424955790766,fast
A_243,conflict,2.9205,True,red,5.82958277980059,0.1547735169469999,slow
A_244,aligned,6.055375,True,blue,5.971519759839176,0.014714358832832985,fast
A_244,conflict,2.874,True,red,5.971519759839176,0.17670426257094668,slow
A_245,aligned,6.0205,True,blue,6.165428137669278,0.024977023878000555,fast
A_245,conflict,2.9708750000000004,True,red,6.165428137669278,0.13603307613110618,slow
A_246,aligned,5.60975,True,blue,5.538384754422437,0.008729499209499723,fast
A_246,conflict,3.1530000000000005,True,red,5.538384754422437,0.1299084733068257,
A_247,aligned,6.222,True,blue,6.151798055578236,0.01273211476806234,fast
A_247,conflict,2.72675,True,red,6.151798055578236,0.13864192321372745,slow
A_248,aligned,6.156125,True,blue,6.1655788654634405,0.004923486497761612,fast
A_248,conflict,2.564,True,red,6.1655788654634405,0.15770757643070987,slow
A_249,aligned,5.710500000000001,True,blue,5.2623392150242,0.09221377069491372,fast
A_249,conflict,2.9050000000000002,True,red,5.2623392150242,0.15922399760767636,slow
A_250,aligned,5.970125,True,blue,6.307481316783373,0.06703159692155428,fast
A_250,conflict,2.7616250000000004,True,red,6.307481316783373,0.1689061498495021,slow
A_251,aligned,6.132875,True,blue,5.631825431495979,0.07866139735401108,fast
A_251,conflict,2.8081250000000004,True,red,5.631825431495979,0.1539320876029953,slow
A_252,aligned,5.79575,True,blue,5.953742189885483,0.016532896516772654,fast
A_252,conflict,2.8081250000000004,True,red,5.953742189885483,0.14774125422891404,slow
A_253,aligned,5.396625,True,blue,5.601484760913169,0.05100571851541769,fast
A_253,conflict,2.57175,True,red,5.601484760913169,0.16498113891038862,slow
A_254,aligned,5.443125,True,blue,5.31131857028699,0.030252531548356915,fast
A_254,conflict,2.6415,True,red,5.31131857028699,0.1523086577692751,slow
A_255,aligned,5.489625,True,blue,5.388536695055052,0.013467777666533856,fast
A_255,conflict,2.9205,True,red,5.388536695055052,0.1375081322978716,slow
A_256,aligned,5.4121250000000005,True,blue,5.883183467180861,0.07611452863033821,fast
A_256,conflict,2.777125,True,red,5.883183467180861,0.16016038952007064,slow
A_257,aligned,5.722125,True,blue,6.351932374976582,0.10017728499463587,fast
A_257,conflict,2.843,True,red,6.351932374976582,0.1290523255795764,slow
A_258,aligned,5.7725,True,blue,5.5341315958561115,0.028915963827408745,fast
A_258,conflict,3.009625,True,red,5.5341315958561115,0.1160559584324366,
A_259,aligned,5.79575,True,blue,6.255655519775658,0.0886022362787594,fast
A_259,conflict,2.862375,True,red,6.255655519775658,0.16200562311597125,slow
A_260,aligned,5.760875,True,blue,5.317656190670988,0.07644855865126253,fast
A_260,conflict,2.9011250000000004,True,red,5.317656190670988,0.12631742687471745,slow
A_261,aligned,5.908125,True,blue,6.273124349016954,0.07956894038445889,fast
A_261,conflict,2.9515000000000002,True,red,6.273124349016954,0.16546823000576588,slow
A_262,aligned,5.350125,True,blue,5.517720009343337,0.04282553642173876,fast
A_262,conflict,2.7345,True,red,5.517720009343337,0.1661758144483991,slow
A_263,aligned,5.664000000000001,True,blue,5.281971765646771,0.06244991451049117,fast
A_263,conflict,2.95925,True,red,5.281971765646771,0.1308904517794576,slow
A_264,aligned,5.385,True,blue,6.253060672105156,0.10993107722134134,fast
A_264,conflict,3.187875,True,red,6.253060672105156,0.13084409450522524,
A_265,aligned,5.846125,True,blue,6.067838994234379,0.041561513143966576,fast
A_265,conflict,2.9205,True,red,6.067838994234379,0.13816110624577793,slow
A_266,aligned,4.877375000000001,True,blue,5.508157300414394,0.09201756594541802,
A_266,conflict,3.091,True,red,5.508157300414394,0.13177036634757985,
A_267,aligned,5.396625,True,blue,5.3296073400836335,0.015503703408829565,fast
A_267,conflict,2.908875,True,red,5.3296073400836335,0.13784944868078802,slow
A_268,aligned,5.838375,True,blue,6.196854348407835,0.07406135031136356,fast
A_268,conflict,2.8275,True,red,6.196854348407835,0.17574401826340957,slow
A_269,aligned,5.9275,True,blue,6.032692501429241,0.01864618831070928,fast
A_269,conflict,2.8352500000000003,True,red,6.032692501429241,0.14733841409125834,slow
A_270,aligned,5.861625,True,blue,5.927186366921322,0.011814772713357886,fast
A_270,conflict,2.7965,True,red,5.927186366921322,0.1340403622085938,slow
A_271,aligned,6.001125,True,blue,6.012585074015215,0.02576508147230898,fast
A_271,conflict,2.908875,True,red,6.012585074015215,0.17581175033782984,slow
A_272,aligned,6.16,True,blue,6.298370580304083,0.021527576205006525,fast
A_272,conflict,2.8933750000000003,True,red,6.298370580304083,0.17438179103973742,slow
A_273,aligned,5.846125,True,blue,5.544295972727657,0.05244826191508059,fast
A_273,conflict,2.8933750000000003,True,red,5.544295972727657,0.12691060703138157,slow
A_274,aligned,5.9662500000000005,True,blue,5.286201929383589,0.09374410842079878,fast
A_274,conflict,2.591125,True,red,5.286201929383589,0.12450578452233388,slow
A_275,aligned,6.2375,True,blue,6.344696357806226,0.01471716886683693,fast
A_275,conflict,2.653125,True,red,6.344696357806226,0.1326583582358161,slow
A_276,aligned,5.5865,True,blue,5.725295577068593,0.03328682012863369,fast
A_276,conflict,3.032875,True,red,5.725295577068593,0.16908289773393653,
A_277,aligned,5.962375,True,blue,5.758523205957055,0.06447739929677468,fast
A_277,conflict,3.0406250000000004,True,red,5.758523205957055,0.15717754733455205,
A_278,aligned,5.109875000000001,True,blue,5.259631060131768,0.035513526452603486,
A_278,conflict,2.7848750000000004,True,red,5.259631060131768,0.16301724129903047,slow
A_279,aligned,6.3576250000000005,True,blue,6.285554848759275,0.01347432326786201,fast
A_279,conflict,2.498125,True,red,6.285554848759275,0.12678705324659512,slow
A_280,aligned,6.125125,True,blue,5.497991755049775,0.10640496512465286,fast
A_280,conflict,2.7422500000000003,True,red,5.497991755049775,0.16343707269456734,slow
A_281,aligned,5.4586250000000005,True,blue,6.05072102873973,0.09545137807586342,fast
A_281,conflict,2.8236250000000003,True,red,6.05072102873973,0.13818345675748964,slow
A_282,aligned,6.078625,True,blue,5.483645647821877,0.08181333310574984,fast
A_282,conflict,2.75775,True,red,5.483645647821877,0.1487928017534144,slow
A_283,aligned,5.249375000000001,True,blue,5.507114472052315,0.0414820460832338,fast
A_283,conflict,2.955375,True,red,5.507114472052315,0.12131558850833174,slow
