receiver_id,pair_id,direction,target_label,condition,omega_true,omega_natural,omega_aligned,omega_edited,recovery_denominator,normalized_recovery,valid,outcome,invalid_reasons,detection_rate,max_missing_run,max_adjacent_jump_px,median_length_error,boundary_jump_px,median_area_px,area_valid,fit_valid,fit_rmse,detected_color,detected_shape,intervention_layer_zero_based,fm_calls_observed,fm_calls_expected,intervention_scale,condition_prefix_tokens_edited,target_suffix_tokens_edited,activation_delta_l2,output_video_path
B_150,,B,low,full_matched,2.8798234353759016,5.931375,2.781,2.874,-3.150375,0.9704797047970479,True,physics,,0.984375,1,1.077370444423643,0.0012617757181523914,1.0542138189877837,177.0,True,True,0.0041585145569965655,red,circle,12,20,20,1.0,1088,0,245.07208251953125,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/stage3_low_rank_causal_route/videos/B_150/edit_full_d.mp4
B_150,,B,low,top4_oracle,2.8798234353759016,5.931375,2.781,2.8585000000000003,-3.150375,0.97539975399754,True,physics,,0.984375,1,1.0654461014593668,0.0013382227500091104,0.9549971721046354,177.0,True,True,0.0037470639862573012,red,circle,12,20,20,1.0,1088,0,240.17999611217692,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/stage3_low_rank_causal_route/videos/B_150/edit_rank_4.mp4
B_150,,B,low,fit_only_predicted,2.8798234353759016,5.931375,2.781,2.7965,-3.150375,0.9950799507995081,True,physics,,0.984375,1,0.9832188959774526,0.0013555413406834416,0.5881067092917845,176.0,True,True,0.003850567438884892,red,circle,12,20,20,1.0,1088,0,223.98594773857243,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/paper_revision_20260826/top4_controller_block12/heldout/B/B_150/scale_1p00.mp4
B_152,,B,low,natural_conflict,2.4892875209756546,5.29975,2.653125,5.2958750000000006,-2.6466250000000002,0.0,True,shortcut,,1.0,0,3.3977017958396925,0.016998430757076022,2.4983408950707098,206.5,True,True,0.007426088621750927,blue,circle,,0,0,0.0,0,0,0.0,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/strict_bank/natural_videos/B_152/conflict.mp4
B_152,,B,low,full_matched,2.4892875209756546,5.29975,2.653125,2.998,-2.6466250000000002,0.8696925329428989,True,physics,,0.984375,1,0.9314997922479887,0.0009551331110799199,0.5774992734385063,181.0,True,True,0.00425494070076035,red,circle,12,20,20,1.0,1088,0,245.5274200439453,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/stage3_low_rank_causal_route/videos/B_152/edit_full_d.mp4
B_152,,B,low,top4_oracle,2.4892875209756546,5.29975,2.653125,2.998,-2.6466250000000002,0.8696925329428989,True,physics,,0.984375,1,1.0026683807339423,0.000893766027334153,0.5577550465622252,180.0,True,True,0.004248861880091277,red,circle,12,20,20,1.0,1088,0,239.93708637068025,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/stage3_low_rank_causal_route/videos/B_152/edit_rank_4.mp4
B_152,,B,low,fit_only_predicted,2.4892875209756546,5.29975,2.653125,2.99025,-2.6466250000000002,0.8726207906295754,True,physics,,0.984375,1,0.9599942543816814,0.000823160162104708,0.479433087051316,181.0,True,True,0.004396331819785087,red,circle,12,20,20,1.0,1088,0,248.84713890275177,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/paper_revision_20260826/top4_controller_block12/heldout/B/B_152/scale_1p00.mp4
B_153,,B,low,natural_conflict,2.607604136492806,5.354,2.521375,5.354,-2.832625,0.0,True,shortcut,,1.0,0,3.491604410411305,0.015896646244163898,3.1478375887654373,208.5,True,True,0.010793454304129419,blue,circle,,0,0,0.0,0,0,0.0,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/strict_bank/natural_videos/B_153/conflict.mp4
B_153,,B,low,full_matched,2.607604136492806,5.354,2.521375,2.8352500000000003,-2.832625,0.8891928864569082,True,physics,,0.984375,1,1.4905225671074196,0.0010083462709249424,1.7678377858694367,180.0,True,True,0.007942043223276393,red,circle,12,20,20,1.0,1088,0,241.3239288330078,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/stage3_low_rank_causal_route/videos/B_153/edit_full_d.mp4
B_153,,B,low,top4_oracle,2.607604136492806,5.354,2.521375,2.72675,-2.832625,0.9274965800273598,True,physics,,0.984375,1,1.2794447630079195,0.0012456318968114832,1.560391640754129,178.0,True,True,0.008986018733602474,red,circle,12,20,20,1.0,1088,0,231.73332429757374,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/stage3_low_rank_causal_route/videos/B_153/edit_rank_4.mp4
